Name,long,lat,capacity
Ndirande ground,35.0506292882367,-15.7751478192376,7000
Chimwankhunda mosque,35.0148433,-15.8270523,7000
Naizi market,35.0881916,-15.8496159,7000
Machinjiri market,35.0810519006693,-15.7446647233049,7000
South Lunzu market,35.056110506117,-15.7308852158985,7000
Khama market,35.0745535217875,-15.7677063561359,7000
Nkolokoti market,35.0763238,-15.7904719,7000
Kachere market,35.0841115,-15.8079213,7000
Kachere market,35.1053326,-15.7934343,7000
Naizi market,35.0823074,-15.8494749,7000
Bangwe market,35.084883,-15.8282683,7000
Bangwe market,35.088651,-15.8322942,7000
Bangwe market,35.0928606,-15.8318935,7000
Bangwe ground,35.0902355,-15.8162941,7000
Bangwe ground,35.0972343,-15.8090997,7000
Limbe flea market,35.0641464,-15.8129183,7000
Limbe market,35.0547397,-15.8209911,7000
Limbe Hard Ware,35.04983,-15.8140027,7000
Limbe market,35.0589459,-15.8122795,7000
Pafumbi bus terminal,35.0565254,-15.8291657,7000
Likotima,35.0567328954642,-15.8539394204848,7000
I.T.G,35.0606009,-15.8204747,7000
Chigumula,35.0517857,-15.8861397,7000
Chigumula,35.0443875,-15.8874332,7000
BCA market,35.0630205,-15.8441823,7000
BCA market,35.0693501,-15.8444313,7000
BCA market,35.0648825,-15.8486964,7000
Chigumula,35.0506559,-15.8929361,7000
Ndirande ground,35.0477257151946,-15.7767658006899,7000
Ndirande market,35.0367990317374,-15.7768339217149,7000
Kameza round a bout,35.0173168,-15.730363,7000
Chirimba market,35.0191982877375,-15.7446812271532,7000
Chirimba market,35.0220263,-15.7443242,7000
Chiweto,35.0101770170634,-15.7467311027693,7000
Chemusa market,34.9993595083647,-15.7660058949426,7000
Kayange,35.0026756404532,-15.7757495238887,7000
Mbayani market,35.0080465180437,-15.7759602587675,7000
Mbwerela,34.9945281229115,-15.770725548667,7000
Chilomoni market,34.9817160109506,-15.7734439277705,7000
Fargo,34.9831392,-15.7759035,7000
Nthukwa market,34.9799853598876,-15.7638099660559,7000
Blantyre flea market,35.0064061544609,-15.7886359879959,7000
Mibawa Bus terminals,35.0089775,-15.7885589,7000
Blantyre market,35.0087927,-15.7944906,7000
Malekano,34.9918790489655,-15.8102664651841,7000
Manase Market,34.9933045260068,-15.8120182606814,7000
Chilobwe,35.0057196720879,-15.8324505806528,7000
Thawale market,35.0117058,-15.8196523,7000
Zingwangwa water board,35.0177456,-15.8164725,7000
Zingwangwa mosque,35.008295,-15.8154094,7000
Soche market,35.0153083280478,-15.8093981762749,7000
Wenela Bus terminal,35.0157601973012,-15.7856834240139,7000
Queens Guardian shelter,35.0190521134966,-15.802852583209,7000
